data,categoria,produto,quantidade,receita
2025-11-17,Vestuário,Tênis,2,535.52
2025-11-17,Livros,Técnico,3,257.75
2025-11-17,Casa,Mesa,3,2092.56
2025-11-18,Vestuário,Camiseta,6,331.52
2025-11-18,Eletrônicos,Smartphone,4,6241.98
2025-11-18,Livros,Ficção,5,228.27
2025-11-19,Vestuário,Jaqueta,5,1600.41
2025-11-19,Vestuário,Jaqueta,2,598.16
2025-11-19,Casa,Luminária,2,275.87
2025-11-20,Eletrônicos,Notebook,5,15637.28
2025-11-20,Eletrônicos,Smart TV,4,8059.91
2025-11-20,Casa,Sofá,6,10366.29
2025-11-21,Vestuário,Jaqueta,5,1411.83
2025-11-21,Vestuário,Jaqueta,3,1019.46
2025-11-24,Livros,Infantil,5,172.38
2025-11-24,Casa,Sofá,2,3562.08
2025-11-25,Vestuário,Camiseta,2,97.8
2025-11-25,Eletrônicos,Smart TV,1,2271.4
2025-11-26,Casa,Cortina,1,229.43
